Domain,Location on Site,Primary Domain,Spend,Revenue,Followers,Employees,Company Name,Vertical,BuiltWith Rank,Tranco Rank,Majestic Rank,Page Rank,Telephones,Emails,Twitter,Facebook,Linkedin,Google,Pinterest,Github,Instagram,Vk,Vimeo,Youtube,Tiktok,Threads,X,Weibo,Tieba,Xiaohongshu,Douyin,Ticker,People,City,State,Postcode,Country,First Detected,Last Detected,First Indexed,Last Indexed,Exclusion,Compliance
commercialhostwebmail.com,commercialhostwebmail.com,commercialhostwebmail.com,$897,$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2026-01-07,2026-02-20,2025-12-02,2026-12-01,"",""
memorialalternatives.com,memorialalternatives.com,memorialalternatives.com,"$2,044",$,"","",Memorial Alternatives,Health And Fitness,"","","","15,812,070",+1-616-363-3740;+1-617-849-5459;+1-800-952-5210;+1-201-701-6799;+1-866-303-1880;+1-844-859-0845,mark@memorialalternatives.com;info@memorialalternatives.com;justin@memorialalternatives.com,"","","","","","","","","","","","","","","","","","","",Grand Rapids,MI,49505,US,2023-03-08,2026-03-15,2000-02-28,2026-03-15,"",""
alltreeconsultants.com,alltreeconsultants.com,alltreeconsultants.com,$897,$,"","","",Technology And Computing,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",UN,2020-09-17,2026-02-20,2020-06-05,2026-02-20,"",""
server24.eu,server24.eu,server24.eu,"$3,117","$71,526","3,139","",Server24 EU VAT No,Technology And Computing,"591,279","580,755","","508,651","",info@server24.eu;support@server24.eu;privacy@server24.eu,twitter.com/server24,facebook.com/server24,"","","","","","","","","","","","","","","","","",Amsterdam,07,1000,NL,2025-05-07,2026-03-14,2006-07-09,2026-03-19,"",GDPR NL
soliskenkelljs.com,soliskenkelljs.com,soliskenkelljs.com,"$3,744",$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2023-08-15,2026-03-15,2023-08-15,2026-03-15,"",""
iwatadreams.com,iwatadreams.com,iwatadreams.com,$897,$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-04-08,2026-02-20,2025-03-05,2026-03-04,"",""
anavalverde.com,anavalverde.com,anavalverde.com,$897,$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-10-13,2026-02-20,2024-09-28,2026-09-27,"",""
usdonutsandcroissants.com,usdonutsandcroissants.com,usdonutsandcroissants.com,$0,$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2026-02-20,2026-02-20,2026-01-14,2027-01-13,"",""
lenosout.shop,lenosout.shop,lenosout.shop,$897,$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-11-18,2026-02-20,2025-10-21,2026-02-20,"",""
stagedomaintest.org,stagedomaintest.org,stagedomaintest.org,$897,$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-05-14,2026-02-20,2024-05-14,2026-02-20,"",""
lamiaclinica.online,lamiaclinica.online,lamiaclinica.online,$0,$,"","",La Mia Clinica,Unknown,"","","","78,263,761","",info@lamiaclinica.online,"","","","","","","","","","","","","","","","","","","","","","",UN,2025-08-26,2026-01-07,2023-06-23,2026-06-01,"",""
jollylegs.com,jollylegs.com,jollylegs.com,$0,$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2026-01-07,2026-01-07,2026-01-07,2026-02-20,"",""
jenbuildsmerch.com,jenbuildsmerch.com,jenbuildsmerch.com,"$7,272",$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-11-18,2026-02-20,2025-05-15,2026-05-14,"",""
themasterphone.com,themasterphone.com,themasterphone.com,$897,$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-10-13,2026-02-20,2025-10-13,2026-02-20,"",""



"Compliance Notice: PII is removed for EU/CCPA. Visit https://builtwith.com/compliance for options and more information. Do Not Contact entries are self removed from BuiltWith. Please see https://builtwith.com/terms - you cannot use this list to bulk send emails. AU Customers cannot access harvested emails by law."
